index,title,description,keywords
1,Baked Salmon with Honey-Garlic Glaze,"This dish is a delicious and healthy way to enjoy salmon. The glaze is made with honey, garlic, soy sauce, and lemon juice, giving the fish a sweet and tangy flavor. Serve with steamed vegetables and rice for a complete meal.","Healthy, sweet, tangy"
2,Quinoa and Black Bean Salad,"This salad is packed with protein and fiber, thanks to the combination of quinoa and black beans. Toss with a simple vinaigrette made with olive oil, lime juice, and spices for a healthy and satisfying lunch or dinner.","Healthy, protein, fiber"
3,Stir-Fried Vegetables with Tofu,"This stir-fry is a great way to use up any vegetables you have on hand. Add tofu for protein and serve over brown rice for a filling and nutritious meal.","Healthy, protein, vegetables"
4,Greek Salad,"This classic salad is a staple in Mediterranean cuisine. It's made with fresh vegetables like tomatoes, cucumbers, and bell peppers, and is topped with feta cheese and a simple vinaigrette. Serve as a side or add grilled chicken for a complete meal.","Healthy, classic, Mediterranean"
5,Soba Noodle Salad,"This Japanese-inspired salad features soba noodles, which are made from buckwheat flour and have a nutty flavor. Toss with vegetables and a sesame-soy dressing for a refreshing and healthy meal.","Healthy, Japanese-inspired, nutty"
6,Chickpea and Spinach Curry,"This Indian-inspired dish is loaded with flavor and nutrition. The curry is made with chickpeas, spinach, tomatoes, and spices, and is served over rice or with naan bread.","Indian-inspired, loaded with flavor, healthy"
7,Ceviche,"This South American dish features raw fish that is marinated in lime juice and served with vegetables and herbs. It's a light and refreshing dish that's perfect for a hot summer day.","Light, refreshing, South American"
8,Mediterranean Quinoa Bowl,"This bowl is loaded with fresh vegetables, chickpeas, and quinoa, and is topped with a lemon-tahini dressing. It's a healthy and flavorful meal that's easy to customize with your favorite ingredients.","Healthy, flavorful, customizable"
9,Tabbouleh,"This Middle Eastern salad is made with parsley, tomatoes, onions, and bulgur wheat. It's a refreshing and healthy side dish that's perfect for summer picnics and barbecues.","Middle Eastern, refreshing, healthy"
10,Ratatouille,"This French dish features a variety of vegetables, including eggplant, zucchini, and bell peppers, that are cooked in a tomato-based sauce. It's a healthy and satisfying vegetarian meal that's perfect for dinner parties.","French, vegetarian, healthy"
